inserts_40,inserts_80,inserts_120
0.004618,0.009413,0.016645
0.004877,0.009217,0.018934
0.004620,0.009989,0.013896
0.005235,0.010991,0.016685
0.003949,0.009390,0.013858
0.006432,0.008757,0.023371
0.005011,0.011490,0.016280
0.004542,0.012989,0.014825
0.005385,0.009373,0.017050
0.006143,0.007601,0.018321
0.006643,0.008464,0.020919
0.004872,0.008370,0.018315
0.005317,0.009661,0.017967
0.004213,0.010130,0.020669
0.006391,0.009788,0.016760
0.003691,0.010356,0.014965
0.004973,0.008448,0.017172
0.005273,0.009597,0.019122
0.005709,0.007657,0.015941
0.004733,0.011110,0.022585
0.004061,0.011273,0.015125
0.005256,0.008935,0.012676
0.003860,0.010259,0.013831
0.004612,0.009462,0.016756
0.004382,0.009702,0.015676
0.004546,0.012933,0.012729
0.005811,0.009439,0.013972
0.004706,0.011359,0.015440
0.007143,0.011506,0.017728
0.004243,0.008950,0.016612
0.004790,0.008368,0.017057
0.003875,0.008637,0.020826
0.004884,0.008853,0.015866
0.006241,0.009880,0.020664
0.005442,0.009926,0.021049
0.004529,0.011747,0.017195
0.004224,0.008448,0.020034
0.004872,0.012214,0.017584
0.004358,0.009661,0.016178
0.004082,0.010653,0.016226
0.003838,0.008163,0.013975
0.005512,0.009561,0.019097
0.004917,0.007870,0.016128
0.003824,0.011035,0.018925
0.004001,0.009933,0.014133
0.004663,0.011252,0.015906
0.006074,0.007538,0.016290
0.004100,0.010574,0.018641
0.003035,0.011478,0.016722
0.005018,0.012695,0.016846
0.004977,0.009224,0.017040
0.003998,0.017562,0.020286
0.003852,0.010410,0.013047
0.005089,0.011722,0.015983
0.003897,0.008138,0.019723
0.004872,0.009459,0.022258
0.005945,0.013235,0.016854
0.003722,0.011402,0.016725
0.003838,0.008936,0.014483
0.004565,0.008535,0.019736
0.004740,0.009242,0.014517
0.003661,0.009852,0.014526
0.003120,0.009739,0.017067
0.003555,0.010837,0.015414
0.005184,0.013528,0.026413
0.004321,0.010531,0.017114
0.005326,0.010123,0.017239
0.005322,0.007334,0.020876
0.004201,0.010394,0.019625
0.004597,0.007930,0.017035
0.006128,0.007923,0.017188
0.004435,0.010012,0.014981
0.004839,0.010829,0.017585
0.003331,0.012565,0.018251
0.004461,0.010596,0.019098
0.004080,0.009513,0.014062
0.003952,0.014156,0.021667
0.004266,0.009604,0.015381
0.004375,0.009893,0.014572
0.004649,0.008854,0.018027
0.004829,0.007957,0.016251
0.004902,0.008838,0.022950
0.004473,0.010091,0.017230
0.004699,0.010313,0.017185
0.004760,0.008867,0.022189
0.004990,0.010933,0.014622
0.004289,0.009429,0.018425
0.004251,0.008568,0.020549
0.004435,0.009271,0.016461
0.004508,0.011281,0.019002
0.004861,0.009265,0.026808
0.004897,0.009543,0.015428
0.004403,0.012449,0.025729
0.004565,0.012568,0.014244
0.005144,0.008970,0.016122
0.005548,0.010971,0.023314
0.004747,0.014548,0.019905
0.004063,0.010949,0.017840
0.005288,0.010538,0.016584
0.004113,0.013018,0.014861
0.004427,0.008990,0.028529
0.004423,0.008764,0.018046
0.004561,0.009110,0.017006
0.006270,0.011471,0.016972
0.004436,0.011184,0.020341
0.003814,0.009206,0.016028
0.004176,0.008845,0.014414
0.004862,0.009417,0.018178
0.004230,0.011443,0.015565
0.005573,0.011575,0.018202
0.003892,0.010112,0.014197
0.004065,0.017994,0.017808
0.006456,0.011207,0.016502
0.002756,0.008981,0.017891
0.004270,0.009717,0.015280
0.003818,0.010096,0.017949
0.003658,0.011965,0.019167
0.003983,0.011888,0.021241
0.004612,0.013357,0.017364
0.004250,0.010012,0.018489
0.003186,0.011439,0.017467
0.004307,0.011192,0.014719
0.005480,0.009809,0.016361
0.004100,0.009370,0.023476
0.005108,0.011344,0.021110
0.004637,0.009461,0.014926
0.007066,0.009178,0.018562
0.003740,0.010338,0.014664
0.004429,0.009790,0.018755
0.003904,0.010931,0.015431
0.004020,0.011678,0.016823
0.003624,0.010305,0.014872
0.004407,0.011024,0.013980
0.006608,0.009066,0.017697
0.005550,0.009832,0.019965
0.003957,0.011592,0.034345
0.004549,0.012867,0.014993
0.003657,0.009230,0.018218
0.003366,0.009719,0.021575
0.003633,0.009841,0.016151
0.004810,0.008542,0.020493
0.004892,0.006813,0.017493
0.004454,0.010123,0.013554
0.007633,0.009704,0.016234
0.003536,0.012957,0.033263
0.003884,0.009986,0.017173
0.004897,0.009981,0.018711
0.006644,0.009192,0.019050
0.015611,0.008535,0.016315
0.019643,0.011499,0.012181
0.008286,0.012769,0.017788
0.005328,0.009029,0.020388
0.004766,0.010675,0.015191
0.004133,0.009594,0.016342
0.003903,0.011986,0.013837
0.004266,0.009312,0.018519
0.004433,0.010320,0.015696
0.006048,0.009736,0.017620
0.004524,0.010144,0.013590
0.003500,0.010889,0.017998
0.004919,0.009203,0.016210
0.004189,0.009814,0.023911
0.004056,0.009774,0.015098
0.005396,0.008926,0.020227
0.003788,0.010535,0.014661
0.004903,0.009335,0.017165
0.003872,0.009740,0.018989
0.003801,0.009779,0.016908
0.004886,0.008760,0.020271
0.003383,0.011373,0.017125
0.004584,0.010047,0.021018
0.004578,0.010097,0.022332
0.004311,0.011642,0.030712
0.005977,0.010796,0.023884
0.003783,0.010037,0.017772
0.007472,0.008341,0.016756
0.004622,0.010666,0.015827
0.003718,0.012070,0.016010
0.004862,0.011233,0.016515
0.006717,0.009312,0.016285
0.003733,0.008686,0.015346
0.004132,0.010726,0.022148
0.003864,0.010780,0.015560
0.004268,0.011071,0.020168
0.003554,0.011545,0.026254
0.005068,0.009886,0.015558
0.004692,0.008220,0.018083
0.003500,0.008242,0.018949
0.003902,0.008493,0.018328
0.003662,0.010788,0.016416
0.005028,0.009132,0.016284
0.006072,0.007390,0.016195
0.003871,0.008825,0.019232
0.004238,0.010439,0.015301
0.004885,0.008781,0.015232
0.003561,0.010253,0.015946
0.005225,0.017083,0.022220
0.003870,0.011093,0.022519
0.003433,0.010599,0.022084
0.003812,0.010574,0.017685
0.005286,0.011459,0.021080
0.005046,0.010457,0.018346
0.005404,0.011524,0.017546
0.003428,0.014206,0.014959
0.004547,0.011422,0.012636
0.004568,0.009376,0.016951
0.005032,0.008700,0.017410
0.004711,0.011836,0.019724
0.003956,0.009638,0.017957
0.004001,0.008652,0.016158
0.005214,0.014958,0.019837
0.005897,0.010925,0.019768
0.004891,0.009104,0.018210
0.005163,0.008473,0.018140
0.006542,0.008867,0.021740
0.004786,0.010456,0.017979
0.003661,0.008347,0.016285
0.004216,0.009566,0.013983
0.003626,0.009599,0.017694
0.005743,0.009995,0.021605
0.005269,0.009647,0.017929
0.004765,0.008010,0.021713
0.004062,0.011241,0.021678
0.005639,0.007588,0.015763
0.003910,0.009392,0.032085
0.004529,0.009016,0.018266
0.003649,0.012127,0.018142
0.004070,0.009864,0.018521
0.005267,0.010046,0.017487
0.005046,0.008411,0.017102
0.004203,0.010134,0.015464
0.005257,0.011133,0.033504
0.004272,0.009064,0.014622
0.003770,0.009518,0.015148
0.004183,0.007880,0.014792
0.004510,0.011195,0.017331
0.004413,0.007895,0.015151
0.004831,0.015813,0.016562
0.004469,0.007750,0.016019
0.003926,0.012794,0.016996
0.004772,0.008972,0.013415
0.004872,0.009876,0.016495
0.005227,0.011190,0.016316
0.005292,0.008290,0.017829
0.005156,0.011211,0.014220
0.003945,0.010079,0.016083
0.004138,0.010185,0.018033
0.006919,0.009024,0.017865
0.006331,0.009494,0.017696
0.005565,0.008543,0.015931
0.004148,0.008798,0.022642
0.003682,0.010096,0.016754
0.004994,0.010578,0.015446
0.004792,0.007495,0.015174
0.004231,0.008790,0.018514
0.004218,0.011224,0.019375
0.003727,0.010219,0.015752
0.004501,0.009592,0.019019
0.003746,0.009286,0.019671
0.004436,0.011523,0.029787
0.004285,0.009249,0.014507
0.004641,0.011334,0.015127
0.003560,0.011937,0.018813
0.005145,0.008892,0.019259
0.004009,0.013617,0.020454
0.003855,0.009686,0.014773
0.006379,0.009845,0.015087
0.004052,0.009631,0.015149
0.003212,0.011495,0.027411
0.004201,0.011008,0.017332
0.004056,0.011401,0.026954
0.004554,0.010759,0.015457
0.004352,0.011972,0.017570
0.004713,0.010749,0.013882
0.004250,0.009492,0.015928
0.004953,0.011332,0.015857
0.004585,0.009309,0.015034
0.004397,0.010557,0.014945
0.006702,0.011210,0.020433
0.004872,0.010521,0.019100
0.004897,0.008973,0.015251
0.004217,0.008316,0.014884
0.004636,0.014190,0.018286
0.004756,0.009634,0.017566
0.004972,0.009095,0.016212
0.005083,0.010786,0.017487
0.004614,0.008923,0.012566
0.004881,0.009278,0.018444
0.004255,0.008993,0.016953
0.004669,0.008997,0.015635
0.004039,0.010900,0.019728
0.003827,0.010053,0.017355
0.005513,0.008762,0.016289
0.004098,0.009721,0.021088
0.004343,0.009386,0.014737
0.004971,0.007581,0.019542
0.003596,0.009611,0.014556
0.003646,0.008988,0.048835
0.006068,0.009160,0.023071
0.003791,0.010174,0.015815
0.005431,0.009833,0.018890
0.004154,0.009633,0.016810
0.003896,0.008487,0.019082
0.004869,0.012013,0.015875
0.004343,0.010082,0.016253
0.005335,0.010892,0.012574
0.004393,0.009068,0.023435
0.004663,0.009523,0.016670
0.005131,0.007845,0.021947
0.006942,0.010304,0.019823
0.004324,0.012556,0.025431
0.003987,0.010510,0.014439
0.005031,0.009431,0.018791
0.005638,0.009970,0.022824
0.003607,0.008594,0.016435
0.004040,0.009253,0.022802
0.004743,0.009823,0.019248
0.005341,0.011175,0.017866
0.004001,0.010817,0.018080
0.003697,0.010054,0.013581
0.003724,0.010161,0.016136
0.004847,0.009587,0.018996
0.003492,0.011050,0.019018
0.004204,0.009770,0.017684
0.003977,0.009749,0.021851
0.003624,0.011679,0.018450
0.004001,0.012322,0.015439
0.004833,0.009272,0.017936
0.005437,0.009122,0.019342
0.005939,0.010872,0.018452
0.004263,0.012631,0.015436
0.004040,0.020121,0.014406
0.006884,0.012640,0.014945
0.004880,0.009328,0.018894
0.005323,0.010307,0.017404
0.004363,0.008010,0.017838
0.003362,0.009613,0.013788
0.003547,0.009986,0.019825
0.006326,0.011832,0.018583
0.004867,0.009282,0.016170
0.004678,0.010965,0.020722
0.004140,0.008804,0.016454
0.003536,0.010181,0.020607
0.003086,0.009309,0.016370
0.004201,0.010355,0.021892
0.003645,0.010445,0.016385
0.004562,0.009024,0.014644
0.003778,0.010847,0.014727
0.005142,0.010786,0.014517
0.005079,0.013838,0.016167
0.005978,0.008422,0.017573
0.005441,0.010292,0.017532
0.005369,0.009554,0.025521
0.004670,0.009953,0.018940
0.005367,0.012333,0.014264
0.004669,0.010250,0.023394
0.004306,0.010709,0.014369
0.005265,0.011542,0.015562
0.005634,0.008976,0.027549
0.004859,0.008920,0.017044
0.005506,0.008407,0.019468
0.004355,0.011814,0.014336
0.005302,0.013069,0.015853
0.005793,0.009226,0.014160
0.004982,0.009056,0.015676
0.003799,0.010762,0.025042
0.005672,0.011793,0.014057
0.004206,0.010897,0.015619
0.003916,0.009113,0.014641
0.004835,0.011127,0.018181
0.004925,0.009963,0.017659
0.004577,0.008782,0.017340
0.004937,0.012258,0.019875
0.005320,0.010550,0.021422
0.004336,0.011341,0.020011
0.005473,0.009369,0.019483
0.003457,0.010970,0.018526
0.004518,0.008929,0.015694
0.005762,0.008939,0.016791
0.003247,0.010898,0.019344
0.003536,0.010013,0.016765
0.004402,0.009282,0.016000
0.004084,0.011119,0.017246
0.003597,0.008695,0.013928
0.006449,0.009128,0.020346
0.004656,0.007929,0.021389
0.003259,0.013650,0.015736
0.004823,0.011113,0.019707
0.004513,0.009066,0.018416
0.003124,0.011473,0.019304
0.006093,0.009975,0.016467
0.004740,0.008710,0.015873
0.004651,0.010427,0.014981
0.004179,0.012846,0.014996
0.003476,0.009646,0.017543
0.003996,0.009748,0.024547
0.004455,0.010159,0.016766
0.004587,0.007996,0.021288
0.004584,0.007966,0.016735
0.004198,0.009023,0.019143
0.003876,0.008987,0.016586
0.004240,0.012606,0.015993
0.005188,0.008092,0.017035
0.004652,0.007181,0.017947
0.003285,0.011228,0.016387
0.004738,0.010630,0.013311
0.003876,0.010454,0.015952
0.004752,0.008019,0.018114
0.003546,0.012419,0.020758
0.003835,0.012217,0.015941
0.004398,0.012262,0.018653
0.004660,0.009442,0.020138
0.006005,0.007588,0.013727
0.003833,0.011941,0.014054
0.004280,0.009832,0.016787
0.004031,0.010177,0.019065
0.003985,0.009027,0.025251
0.004479,0.007326,0.012024
0.003766,0.008788,0.016502
0.004365,0.016195,0.015271
0.003803,0.008533,0.017536
0.004278,0.009596,0.017797
0.004116,0.010058,0.018162
0.004568,0.009265,0.019026
0.006150,0.012077,0.024836
0.004281,0.010607,0.015894
0.004133,0.010141,0.037329
0.004550,0.008674,0.013261
0.004380,0.008355,0.015150
0.004195,0.010948,0.017775
0.004775,0.007574,0.016251
0.004261,0.009697,0.017788
0.004265,0.011028,0.012487
0.003112,0.009185,0.024843
0.003862,0.008011,0.029397
0.004420,0.009074,0.026457
0.004831,0.009132,0.017118
0.004426,0.010135,0.016596
0.004695,0.013948,0.016747
0.005759,0.009129,0.018071
0.005016,0.010792,0.016363
0.004097,0.010402,0.018547
0.004319,0.009286,0.015629
0.005990,0.010171,0.018275
0.004409,0.009483,0.017665
0.003832,0.010475,0.020554
0.003886,0.012547,0.012065
0.004627,0.015614,0.023056
0.003275,0.008523,0.017627
0.003576,0.010874,0.016426
0.004390,0.010649,0.014766
0.004519,0.010768,0.016893
0.004716,0.010024,0.018258
0.003590,0.010776,0.021639
0.003721,0.007526,0.015598
0.004456,0.010857,0.020086
0.004949,0.008681,0.017974
0.004857,0.010755,0.018011
0.003792,0.009781,0.017307
0.004446,0.010695,0.014959
0.004093,0.008942,0.013948
0.006498,0.010413,0.019453
0.004251,0.012006,0.024754
0.004695,0.010355,0.016437
0.005158,0.009838,0.016718
0.003642,0.007963,0.016208
0.004205,0.008710,0.019825
0.004445,0.010811,0.019866
0.004102,0.012543,0.017581
0.004380,0.009186,0.016403
0.005401,0.009504,0.018054
0.005778,0.013514,0.022349
0.005581,0.010000,0.016031
0.006044,0.010719,0.017155
0.004055,0.010476,0.016424
0.005121,0.011481,0.060670
0.004207,0.009334,0.018944
0.004201,0.011694,0.020686
0.004393,0.012482,0.014666
0.004312,0.008636,0.018365
0.005224,0.008474,0.018137
0.003777,0.011569,0.014964
0.004478,0.009825,0.012552
0.003881,0.011321,0.014863
0.004444,0.013777,0.014726
0.004525,0.008977,0.014944
0.004911,0.009131,0.017797
0.004811,0.009762,0.019721
0.005054,0.010513,0.020760
0.005213,0.011715,0.016076
0.004065,0.008771,0.021114
0.003753,0.011168,0.017652
0.004645,0.009056,0.016040
0.003947,0.012182,0.014866
0.004164,0.011282,0.041012
0.005044,0.009329,0.018376
0.005658,0.008170,0.016024
0.004858,0.008281,0.020475
0.005615,0.009734,0.016860
0.004197,0.011210,0.016461
